,Unnamed: 0,count,hate_speech,offensive_language,neither,class,tweet
20309,20754,3,0,3,0,1,RT @wegomakeit: pussy pussy pussy i smell ya frum bout a mile away&#128564;
10989,11272,3,1,2,0,1,"I told that little bitch ass nigga, ""do it look like I'm about to eat your gun charge?"" I'll slap you and your hoe ass lawyer."
718,729,3,0,0,3,2,"#HelloBrookland! We're here at the @MonroeStMarket opening! Serving free samples of cider, vegan sliders, brownies! http://t.co/BW9uYtLQu1"
13140,13465,3,0,0,3,2,My shift won't be over no time so in the mean time im doing what I have to go to get by. And if it means tweeting trash I will
23183,23667,3,0,3,0,1,Yo bitch know wat im talkin bout
16017,16386,3,0,3,0,1,"RT @KillAllSimps: If this nigga Kanye took Kim K to Wendy's, this means y'all regular hoes don't deserve them $200 dates http://t.co/QZ3hgE&#8230;"
13518,13851,3,1,0,2,2,Obama&#8217;s Newly Released Gitmo Jihadi Has Links To Terrorists In Syria http://t.co/MywaAFD1yB #tcot #pjnet
11247,11534,3,0,3,0,1,I'm bringing booty back. Go ahead and tell them skinny bitches that.
18897,19316,3,0,3,0,1,"RT @djvlad: ""if your sis is a bitch, brother is a jerk,
leave 'em both alone and continue with your work"" - Q-Tip"
21063,21516,3,0,0,3,2,"Someone at my household wants to die. I get all excited to enjoy a couple of Oreos, but someone left ONLY ONE. ONE FRIGGIN' OREO. &#128545;&#128548;&#128544;&#128298;&#128299;"
18055,18459,3,0,3,0,1,"RT @WhenRapperSaid: When Tupac said ""I ain't a killer but don't push me, revenge is the sweetest joy next to getting pussy"" http://t.co/pto&#8230;"
10787,11068,3,0,3,0,1,"I need one of those ""research"" street signs near usaa . Hang that bitch above my bed lol"
363,368,3,0,3,0,1,"""@maybe6789: Now u got what u want bitch ! Enjoy it http://t.co/gLQzwtGMj9"" now this is a crazy party I would love to attend."
20348,20794,3,0,0,3,2,RT @wvjoe911: Gov Rick Scott Refuses To Debate Charlie Crist Because Of A Small Fan http://t.co/hKMfPnRukU
13223,13549,3,0,3,0,1,Never give a bitch the impression that u need them
16389,16762,3,0,0,3,2,RT @MaryWCVB: Charlie Baker about to make his final election eve campaign stop- here at Swampscott High School. #wcvb #wcvbpoli http://t.co&#8230;
12108,12417,3,1,2,0,1,Jus tired to tell a nicca Young Thug was gah yesterday nicca ain't believe me &#128530;
10217,10494,3,0,3,0,1,I don't hit women but I'd slap tf out a bitch. No close fisted business though that's some cowardly shit.
1319,1348,3,0,0,3,2,&#8220;@Iifetip: Kit Kat brownies. http://t.co/40W2a8qlBy&#8221; making.
9487,9747,3,2,1,0,0,Good Mernin faggots http://t.co/3ZPTPqFkTl
16944,17332,3,0,3,0,1,RT @Pretty_N_Purrls: To my EX that bitch can have you. &#128080;
13418,13749,3,0,0,3,2,Nobody gives me a trophy cause I'm old and colored #FavStarTweets&#160;
22643,23121,6,0,6,0,1,"What's this #picslip shit? If your posting a pic. IT'S NOT A SLIP!
Don't flatter yourself. *stupid ass bitches!"
21972,22439,3,0,3,0,1,This bitch is really geeking in my messages &#128514;&#128514;&#128514;
21689,22153,3,0,0,3,2,There's a bird nest in my garage and so now when the birds fly out they poop on my car. &#128529;
14458,14804,3,0,3,0,1,"RT @Brandan420_: ""You smell like Weed..."" and bitch you smell like sober."
2298,2343,3,0,3,0,1,@0beytheLAU @Huntermoore bitch you gross as fuck touchin them saggy titties
14387,14730,3,0,3,0,1,"RT @Bigchapo_4cH: #Merched&#10004;&#128520;""@_100d: Smoke wit a bitch in Nap and let her play music I bet 100 she turn on boosie or some slow shit &#128530;"""
2219,2264,3,0,3,0,1,18 year old pussy tastes like hope.
16419,16792,3,0,3,0,1,"RT @Meeting_aJERNed: Fam RT @PBS_Impulse9: ""It ain't nothin to cut that bitch off""

--- Vincent Van Gogh"
9926,10198,3,0,0,3,2,How many #Yankees players have 3K hits? You have to put #DerekJeter in the conversation for Best Yankee Ever. His numbers demand it.
14162,14502,3,0,3,0,1,RT @Alyssamichh: @Tronkitty bad bitch&#128158;
23049,23532,3,0,1,2,2,Y'all suck on flappy bird
19211,19639,3,1,2,0,1,RT @iaintshitbruh: white bitches win again smh &#8220;@trackinBlackKev: i fucking hate you @MichelleDBeadle&#8221;
2737,2805,3,0,3,0,1,@CaelanG15 that nigga was eating that hoe lol
3999,4118,3,0,0,3,2,@M_A_Larson @SteveStreza You're saying zebras are goth?
23765,24259,3,0,3,0,1,don't be on that ho shit
6541,6724,3,0,3,0,1,@laceeybugg bitch if im talker than you then youre short so stfu
10046,10319,3,0,3,0,1,I be lonely&#128514;&#128514; I have no hoes &#128553;&#128514;&#9995;
17247,17640,6,0,6,0,1,RT @SexualTruth: Eating your womans pussy is good for the soul.
2260,2305,3,0,3,0,1,4th and long bitches
5698,5861,3,0,0,3,2,@caycifish What is that monkey doing to those poor bottles?
14110,14450,3,0,0,3,2,RT @AdamSchein: I think it is flat out wrong to blame Brian Cashman for the 2014 Yankees. @SNYtv
2125,2168,3,0,3,0,1,' when it comes to pussy I have no fucking friends' - hostel iii is really what we're watching right now
7006,7202,3,0,0,3,2,@selenalinn_ the jets are trash my bad i see what you meant &#128514;
6101,6278,3,0,0,3,2,"@hotzgeor Kept the border open to disease from Central America, lowest workforce part. % since Carter, yep, a real boon to NC.@ThomTillis"
3574,3670,3,0,2,1,1,@JTrevorHowerton @HollyRFisher because it's hilarious how it makes teabaggers freak out. I'll do it again too.
11252,11539,3,0,3,0,1,I'm cute with or without the makeup &amp; eyelashes &#128076;&#128524; y'all bitches depend on that shit
6290,6471,3,0,3,0,1,@joshkline1992 that's my nig nog
12018,12322,3,0,3,0,1,Its wayyyyy more going on now than 2 have u pushing yo trash ass music right now
18866,19284,3,0,0,3,2,"RT @dbrend99: Even if you hate the Yankees there is no way you can't like Derek Jeter, he is one of the classiest and most respectful playe&#8230;"
22554,23030,3,0,3,0,1,Well I wish I could shoot the shit wit u bitches but daddy gotta get dis money .one
22857,23336,3,0,0,3,2,Why can't I have colored eyes like my siblings &#128557;&#128557;
15502,15866,3,0,0,3,2,"RT @HobsonDarlene: ""@1Corinthians126: @HobsonDarlene #BlessJesus Amos 3:3 Can two walk together, unless they are agreed? #DifferentLevels""
&#8230;"
19781,20221,3,1,2,0,1,RT @ockfromdablock: I'd go crazy if these animals like them grabbed my mama like that. I ain't going out like no bitch&#128548; http://t.co/sulNMnC&#8230;
7319,7528,3,2,1,0,0,@wutkarina Alright fag
10681,10961,6,0,0,6,2,"I liked a @YouTube video http://t.co/QGNHiLdTTv The Sock Fairy, a short film"
9787,10053,3,0,3,0,1,Her pussy wet I call it Fiji water
802,819,3,0,3,0,1,#WhyIHateInstagram it can make a bitch cheat up to four points on the scale of 1 to 10
24437,24943,3,0,3,0,1,"snow day bitches, lyrics gettin done n bud getting smoked #snowday2014"
17201,17593,3,0,3,0,1,"RT @SarcasmLeague: Back in elementary school, when you were line leader, everybody else was your bitch."
1446,1476,3,0,3,0,1,&#8220;@NoRapist: Throwing lamps at bitches who need to lighten up.&#8221; True dat
5929,6098,3,0,3,0,1,@englandlauren @iain4harrison @oliviaboncic sprite* hoe
18082,18486,3,0,0,3,2,RT @Women_Fit: Use what talent you possess: the woods would be very silent if no birds sang except those that sang best.
9608,9869,3,0,3,0,1,Ha dat bitch in jail
14893,15249,3,0,3,0,1,RT @DaMeatIsThicke: How you invite me over to fuck but I can smell yo pussy from across the room??? Man ain't that dinner she cook then bou&#8230;
7966,8189,3,0,3,0,1,Beat the pussy in so well her shit still hurting from a week ago
17815,18217,3,0,3,0,1,RT @TorahBlaze: @densonkeith a captain save a hoe just jumped in the convo to save these hoes LLS
9655,9919,3,0,3,0,1,Happy Easter you dirty sons a bitches! #NFG #WGE #FindTheEggs #EggsAreInHerAss http://t.co/pNQLgWzNd3
2861,2931,3,1,2,0,1,"@Citygirl_moe - remember when we played plaquemine &amp; they kept calling our whole team gay &amp; Lydia said ""I'll turn all you hoes out, fwm!"" &#128553;&#128557;"
22822,23301,3,1,0,2,2,Who wanna play pin da tail on da colored man's butt?
23616,24110,3,0,3,0,1,"bitch I'm eating!!!!!! you are so blocked!!! RT @MayaAngelouFRO: STOP WHITE PEOPLE 2014 http://t.co/u7oXMK8nup"""
11554,11848,3,0,3,0,1,If my friends don't wanna hangout my automatic response is to call them a bitch. Whoops.
6957,7153,3,0,3,0,1,@salome110thebe1 whats good then bitch Ass nigga catch your phase
5162,5314,3,0,3,0,1,@Worth_BILLions &#128528; bitch you got me fucked up &#128514;&#128514;
7133,7332,3,1,2,0,1,@team_Darrion just like a Velcro headed moon cricket to say fucking jungle bunny
23948,24445,3,1,2,0,1,how you insecure but a hoe? TF
15224,15583,3,0,0,3,2,RT @FoxNews: #FoxNews projects that Wyoming Senator Mike Enzi will defeat Democratic challenger Charlie Hardy. #Election2014
19806,20246,3,0,3,0,1,"RT @ortiz_jaylene: I'm a ""tall big booty bitch"" wtf lol &#128557;&#128557;&#128557;&#128514;&#128514;"
4690,4828,3,0,3,0,1,@ShayLovesYa bitch u lame as fuk lol
4812,4952,3,2,1,0,0,@SweetKixx u see a lame in that pic ofmine due to your infatuation with niggers. Im Hebrew i fite the children of satan in the streets
6950,7145,3,0,3,0,1,@ryancruz_ brandy wanna b down ass bitches &#128533;
20232,20677,3,1,2,0,1,RT @trillmnded: bitches will fuck a nigga with money knowing he ain't buying her shit. but won't fuck a broke nigga that would give her his&#8230;
20487,20933,3,0,3,0,1,Real niggas let real bitches come &#128070;
14077,14417,6,0,6,0,1,RT @AIanHangover: let's play a game called stop being a lil bitch
5734,5898,3,0,2,1,1,"@chrisbrown @cmpunk If by ""amusing"" you mean ""Makes you cry like a bitch,"" then yeah, I'd agree."
17086,17476,3,0,3,0,1,"RT @ReginaldSpears: If Hank Jr. was half the man his daddy was, he'd bitch-slap Brantly Gilbert for having his name in his mouth."
19505,19938,3,0,1,2,2,RT @legapsi06: I've only watched 10mins of this trash and I feel like I just wasted some valuable minutes of my life that I can never get b&#8230;
14298,14640,3,0,3,0,1,RT @BallinInHD: Behind every lame ass nigga... is a lame ass bitch that is constantly telling him how real he is...
12054,12360,3,1,2,0,1,Jet lag a bitch
16287,16659,3,0,3,0,1,"RT @LovelyMariiee: ""@GinaSanabria_: Exes swear they can do better, then you see their next bitch ..... &#128514;&#128514;&#128514;&#128553;&#128553;&#128553;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128514;&#128553;"""
19019,19443,3,0,3,0,1,RT @froxgawd: tf is a baby goal? bitch u gone have what you gone have. RT @missloloko: Baby goals &#128525;&#128525;&#128525;&#128525;&#128076;&#128175; http://t.co/bwldJEx8Qg
3334,3420,3,0,3,0,1,"@HOGANnoHulk_ @Lov3Tadaisha Terrance you wanna be one of my ""hoes"" &#128514;&#9995;"
21618,22081,3,0,3,0,1,The spot is open for you take so your better grab it before another bitch do and if she is determined and beautiful enough she will do it!
23817,24313,3,2,1,0,0,fat bitches fat bitches heeeey
13561,13895,3,0,3,0,1,"Oh, bitch!!! #Scandal"
15796,16165,3,0,2,1,1,RT @Jeremiah_337: Well bitch biology said RT @TEEJUSTYCE Who said 2 females can't make a baby together? That's all me. &#128106; http://t.co/5vEGg6&#8230;
23735,24229,3,0,3,0,1,"damn @liltwist @diplo @LilTunechi &amp; @chrisbrown #fire ""flowers for the ladies &amp; dick for the hoes"" lol http://t.co/4XKUFnZc"
3632,3730,3,1,2,0,1,"@JayKollsKSTP please tell those fuming cops that they are a bunch of coward little bitches, and should not be allowed near weapons. Thanks."
3250,3334,3,0,3,0,1,@Get__Em__Craig naw hoe let me see if you got Keisha
2782,2850,3,0,1,2,2,"@CarlavanderWaal @Jaymaroley &amp; als je over Syrie tweet, volg @Partisangirl maar, zij komt er vandaan &amp; zal je precies uitleggen hoe of wat."
14997,15353,3,0,3,0,1,"RT @DignifiedPurity: @TonyGoldwyn you could have helped Mellie, you revolving door-shaped head ho. You aren't quiet when you're balls deep &#8230;"
11761,12060,9,2,6,1,1,Im the niggah she really wanna ride wit
19002,19425,3,0,3,0,1,RT @fields_devante: @whiteangelss84 now let's get onto you .. you slingy dingy ugly salamander lookin bitch I will not waist my time tweeti&#8230;
19335,19764,3,0,3,0,1,RT @jballinbutts420: @Jamie_Caudillo you're retarded enough to be both. But atleast I have a date to bring you on for your birthday&#10084;&#65039;&#128535;
384,389,3,0,0,3,2,"""@rugbysocklad: Fit lads! Nice gear! http://t.co/ThnXX1lC1M"" these scally lads n trainers would get it"
1205,1232,3,1,2,0,1,&#8220;@DAMNfuckNEE I just wana eat some food. Drink some liq. Go to this party. And have a bad bitch waitin on a nigga when I return.&#8221;&#8221;
22916,23396,3,1,2,0,1,Why you gotta be such a hoe smh I ain't captain save a hoe !!
23120,23604,3,0,3,0,1,Yea you bad but hoe so what??
1033,1056,3,0,2,1,1,&#128553;&#128557; RT @Freegeezy17: My Co worker talking about what's my twitter name Oh no hoe you could never screen shot me to the boss
3959,4076,6,0,6,0,1,@LouieVRee @TehReelHov dat bitch a tampon
17274,17669,3,0,3,0,1,RT @ShayDMVsFinest: I know I got good pussy &#128133;
9319,9575,3,0,3,0,1,"Fucked your bitch, just met her &#128527;"
21082,21535,3,0,3,0,1,Sometimes I feel like being really nice to everyone then I'm just like wait you're all bitches anyway soooo
5484,5642,3,0,0,3,2,@alberdough check cashing on the corner of El Cajon and calwood it's across the steer for pollo loco
18949,19368,3,0,3,0,1,"RT @eddiekinggg: I completely lost my mind, if you find it, go ahead and keep it bitch"
4116,4238,3,0,3,0,1,@MikeyDJaro haha 1. I would go for the S 2. Those fag colors are reserved for @JoeyTaormina
1671,1706,3,0,3,0,1,&#8220;@__thaRealist: Lil bitty bitch&#8221; &#128079;&#128079;&#128079;&#128079;&#128079;lingo
23975,24472,3,2,1,0,0,"i find it funny when fags write ""looking for bf"" on a grindr ap. LOL thats a fucking ap dumbass."
24393,24898,3,1,2,0,1,retard.
13404,13735,3,2,1,0,0,"No these are only whites pies.
Well do you have any negro pies?"
22490,22965,3,0,3,0,1,Watch yo hoe
22485,22960,3,1,2,0,1,"Watch ima hit that hoe later on this summer, finna be the best/most livestock party of 2014!!!"
6479,6662,3,0,3,0,1,@kieffer_jason u want me to panda express so someone. Can break up the like fuck stick to plan and go to Plano get that bitch out your blood
12831,13150,3,0,3,0,1,"Messi is thinking , ""Ronaldo is such a bitch, couldn't even make it out his group"" ahaaaaa"
5633,5794,3,0,0,3,2,@bocgeogaddi @anepicname lmaooooo epic bird wins.
22691,23169,3,0,3,0,1,When bitches you don't like talk to you at work. #workproblems #workflow #byebitch https://t.co/gqZuNhCVd3
5550,5709,3,3,0,0,0,@asshole_king with pills that nig will last 4 years. Like magic j .That nig should hav died years ago. Y'all the first team to draft gay.
84,84,3,0,3,0,1,"""@BlackNerdJade: Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"
3245,3329,3,0,1,2,2,"@Gertrude_Larue 
I is colored, Latino and some Jewish. When I move in, I don't ruin the neighborhood, I wipe it out!"
20157,20602,3,1,2,0,1,RT @thecoreyholcomb: You are who you kick it wit y'all. Check yo squad- if busters &amp; blameamotherfucker ass bitches surround U it's twice a&#8230;
3463,3554,3,0,3,0,1,@ITS_MAKEPEACE i donno who demz iz? But ima bout to get white gurll ghetto on there asses when i find out....
19631,20068,3,0,0,3,2,"RT @marksidaway: Last time #xfactor auditions came to Dublin, I auditioned @MaryByrneMusic and @NiallOfficial. And a man in a blue monkey s&#8230;"
14370,14713,3,0,3,0,1,RT @BigBootyProbs: Happy Valentine&#8217;s Day big booty bitches. &#10084;
9505,9765,3,0,3,0,1,Good pussy change ya life! &#128514;&#128557;
662,672,3,0,3,0,1,#5WordsAfterSex is that all pussy bitch?
12087,12396,3,2,1,0,0,Johnny Rebel - Quit your bitchin' nigger!: http://t.co/uCGhrY7zGe
14581,14930,3,0,3,0,1,RT @CallMeRenee_: &#8220;@1inkkofrosess: stupid ass toe dog dam&#8221;&#128514;&#128514; bitch you mad at your toe &#128553; dumb hoe yo toe aint wanna be stomped .
23241,23725,3,0,3,0,1,You and that BBW shit can get TF off this planet. Take these stud hoes with you too.
23633,24127,9,5,4,0,0,"bitch kill yoself, go on to the bathroom and eat the pills bitch, all of em"
7595,7810,3,0,3,0,1,"All my life i been this cold, all my nights been With hoes."
9509,9769,4,0,4,0,1,"Good weed, bad bitch. Got these hoes on my dick like Brad Pitt."
20226,20671,3,0,3,0,1,RT @treszTHEbest: It's all they know RT @SMCo71: you bitches never gonna b happy following these social sites
9529,9789,3,0,3,0,1,Got all the black bitches mad cuz my main bitch vanilla
21263,21724,3,0,0,3,2,"TRUST ME #Seattle&gt; WE GIVE #Thanksgiving it's DUE&gt; A huge, flightless bird? Dream come true for European bird eaters......."
23500,23991,3,1,2,0,1,"Your girl pussy like a walk in clinic, the cure for every sick nigga"
2430,2481,3,0,2,1,1,@AmericanMirror @Praedor The Cop was bitch slapped by this wanna B st. thug. And he got what TM got Dead See you don't slap cops they R law
19959,20400,3,0,3,0,1,"RT @sadiiex_: @x_NWTS answer you phone hoe, I heard boutcha"
7782,8001,3,1,2,0,1,"Any dope nigga or pretty chick is gon have people wantin their attention.. Y'all gotta grow up with that ""you got hoes"" shit.."
8647,8886,3,0,3,0,1,Dark skinned girls with blonde hair need to stop it. The only bitch that can rock that is Dijonay from The Proud Family.
7268,7475,3,0,0,3,2,@walterthecat121 @GalliumRBLX how is it being colored blind?
13016,13335,3,0,3,0,1,My dad just told @YourDudeFerg 's dad to text one of their friends and say hashtag pussy. Hahahaha I'm done
6584,6769,3,1,2,0,1,@littlelinnda @NasshRodriguez @linndaroose linda you just @ yourself rn you retard^^
14098,14438,3,0,3,0,1,"RT @A_Mitchellll13: ""@10Longdong: Uni suuuucks!! Lolol"" you suck bitch"
13377,13707,3,1,2,0,1,No bitch. You slut. RT @ITSBEEBITCH__: @viaNAWF CHILL
2982,3054,3,0,1,2,2,@Dave_the_wavee the giants are trash...their time is over.
17665,18065,3,0,3,0,1,RT @TheFatKidJames: @Von_VonRichter Bro fuck you for leaving! Lol no but have a great time up there and don't forgot about the bros back ho&#8230;
7454,7665,3,0,3,0,1,A nicca ain't perfect but my heart is pure
7132,7331,3,0,0,3,2,"@tdwp327 practically anything that&#8217;s colored red often contain red pigments extracted from the female coccus costa, or cochineal insect."
20502,20948,3,0,3,0,1,Really wanna go biking downtown. The current lack of sunglasses... Not cool. Not happy. Prepare the bitch face.
3345,3431,3,0,1,2,2,@HarleyyyQuinn_ trash
4015,4135,3,3,0,0,0,@MakeAnothaHov T.o. was a faggot crybaby
5909,6077,3,0,3,0,1,"@edwards_cait but you were too busy being a raging bitch and not caring that your ""best friend"" was going through hell So there's my punch &#128139;"
2588,2645,3,0,0,3,2,@BigCatCooke deserved victory! #Elite8 awaits your #Orange army. #Sweet16 was no disgrace #collegehoops ill be back next time #hoosiers
21492,21954,3,0,0,3,2,The Guy got excited when he saw Oreo cookie crusts. He thought I was making pie. He was bummed when he realized it was cheesecake.
18854,19272,3,0,3,0,1,RT @datnigga_laced: Never invest money into a broke bitch ..
3640,3739,3,0,3,0,1,@JefDaBest: The fact this bird ass nigga took my phone and did a light skin pose in school @Mrste617 smh lol http://t.co/Zd3vctXGXh
11950,12254,3,0,3,0,1,It's iguanas out this bitch n er thing
12573,12885,3,0,3,0,1,Lol @ me next time bitch
9834,10101,6,0,5,1,1,Hit me up with plans nigs
23641,24135,3,1,2,0,1,bitch thats yo nigga &#128064; ....well you aint his bitch &#128514;&#128514;&#9996;&#65039;&#9996;&#65039;&#9996;&#65039;
19094,19519,6,0,0,6,2,RT @hildismom: MT @jjauthor: US ghettos-driven by liberal ideology; http://t.co/6ONYrmggND #RedMeat
20706,21155,3,0,2,1,1,She a bird for that ... Shit was disrespectful! Then ran outside n left her man to get bossed on!
1426,1456,3,0,3,0,1,"&#8220;@MosoKnowso: If a photographer doesn't have a back story on how he started, he did it for pussy #believethat&#8221; #CANTKNOCKTHAHUSSLE"
13051,13371,3,1,2,0,1,My hoes they do drugzzz
