"","term","anger","anticipation","disgust","fear","joy","sadness","surprise","trust"
"45","absent",0,0,0,0,0,1,0,0
"46","absentee",0,0,0,0,0,1,0,0
"47","absenteeism",0,0,0,0,0,0,0,0
"48","absinthe",0,0,0,0,0,0,0,0
"49","absolute",0,0,0,0,0,0,0,0
"50","absolution",0,0,0,0,1,0,0,1
"51","absorbed",0,0,0,0,0,0,0,0
"52","absorbent",0,0,0,0,0,0,0,0
"53","absorbing",0,0,0,0,0,0,0,0
"54","absorption",0,0,0,0,0,0,0,0
"55","abstain",0,0,0,0,0,0,0,0
"56","abstention",0,0,0,0,0,0,0,0
"57","abstinence",0,0,0,0,0,0,0,0
"58","abstract",0,0,0,0,0,0,0,0
"59","abstraction",0,0,0,0,0,0,0,0
"60","absurd",0,0,0,0,0,0,0,0
"61","absurdity",0,0,0,0,0,0,0,0
"62","abundance",0,1,1,0,1,0,0,1
"63","abundant",0,0,0,0,1,0,0,0
"64","abuse",1,0,1,1,0,1,0,0
"65","abutment",0,0,0,0,0,0,0,0
"66","aby",0,0,0,0,0,0,0,0
"67","abysmal",0,0,0,0,0,1,0,0
"68","abyss",0,0,0,1,0,1,0,0
"69","academic",0,0,0,0,0,0,0,1
"70","academy",0,0,0,0,0,0,0,0
"71","accede",0,0,0,0,0,0,0,0
"72","accelerate",0,1,0,0,0,0,0,0
"73","acceleration",0,0,0,0,0,0,0,0
"74","accent",0,0,0,0,0,0,0,0
"75","accentuate",0,0,0,0,0,0,0,0
"76","accept",0,0,0,0,0,0,0,0
"77","acceptable",0,0,0,0,0,0,0,0
"78","acceptance",0,0,0,0,0,0,0,0
"79","access",0,0,0,0,0,0,0,0
"80","accessible",0,0,0,0,0,0,0,0
"81","accession",0,0,0,0,0,0,0,0
"82","accessory",0,0,0,0,0,0,0,0
"83","accident",0,0,0,1,0,1,1,0
"84","accidental",0,0,0,1,0,0,1,0
"85","accidentally",0,0,0,0,0,0,1,0
"86","accolade",0,1,0,0,1,0,1,1
"87","accommodate",0,0,0,0,0,0,0,0
"88","accommodation",0,0,0,0,0,0,0,0
"89","accompaniment",0,1,0,0,1,0,0,1
"90","accompany",0,0,0,0,0,0,0,0
"91","accompanying",0,0,0,0,0,0,0,0
"92","accomplice",0,0,0,0,0,0,0,0
"93","accomplish",0,0,0,0,1,0,0,0
"94","accomplished",0,0,0,0,1,0,0,0
"95","accomplishment",0,0,0,0,0,0,0,0
"96","accord",0,0,0,0,0,0,0,1
"97","accordance",0,0,0,0,0,0,0,0
"98","accordion",0,0,0,0,0,0,0,0
"99","account",0,0,0,0,0,0,0,1
"100","accountability",0,0,0,0,0,0,0,1
"101","accountable",0,0,0,0,0,0,0,1
"102","accountant",0,0,0,0,0,0,0,1
"103","accounting",0,0,0,0,0,0,0,0
"104","accounts",0,0,0,0,0,0,0,1
"105","accredited",0,0,0,0,0,0,0,1
"106","accretion",0,0,0,0,0,0,0,0
"107","accrue",0,0,0,0,0,0,0,0
"108","accueil",0,0,0,0,0,0,0,0
"109","accumulate",0,0,0,0,0,0,0,0
"110","accumulation",0,0,0,0,0,0,0,0
"111","accuracy",0,0,0,0,0,0,0,0
"112","accurate",0,0,0,0,0,0,0,1
"113","accursed",1,0,0,1,0,1,0,0
"114","accusation",1,0,1,0,0,0,0,0
"115","accusative",0,0,0,0,0,0,0,0
"116","accused",1,0,0,1,0,0,0,0
"117","accuser",1,0,0,1,0,0,0,0
"118","accusing",1,0,0,1,0,0,0,0
"119","accustomed",0,0,0,0,0,0,0,0
"120","ace",0,0,0,0,0,0,0,0
"121","acetic",0,0,0,0,0,0,0,0
"122","ache",0,0,0,0,0,1,0,0
"123","achieve",0,0,0,0,1,0,0,1
"124","achievement",0,1,0,0,1,0,0,1
"125","aching",0,0,0,0,0,1,0,0
"126","acid",0,0,0,0,0,0,0,0
"127","acidity",0,0,0,0,0,0,0,0
"128","acknowledge",0,0,0,0,0,0,0,0
"129","acknowledged",0,0,0,0,0,0,0,0
"130","acknowledgment",0,0,0,0,0,0,0,0
"131","acme",0,0,0,0,0,0,0,0
"132","acoustic",0,0,0,0,0,0,0,0
"133","acoustics",0,0,0,0,0,0,0,0
"134","acquaint",0,0,0,0,0,0,0,0
"135","acquaintance",0,0,0,0,0,0,0,0
"136","acquainted",0,0,0,0,0,0,0,0
"137","acquiescence",0,0,0,0,0,0,0,0
"138","acquire",0,0,0,0,0,0,0,0
"139","acquiring",0,1,0,0,0,0,0,0
"140","acquisition",0,0,0,0,0,0,0,0
"141","acquisitions",0,0,0,0,0,0,0,0
"142","acreage",0,0,0,0,0,0,0,0
"143","acres",0,0,0,0,0,0,0,0
"144","acrobat",0,0,0,1,1,0,0,1
"145","act",0,0,0,0,0,0,0,0
"146","acting",0,0,0,0,0,0,0,0
"147","action",0,0,0,0,0,0,0,0
"148","actionable",1,0,1,0,0,0,0,0
"149","active",0,0,0,0,0,0,0,0
"150","activity",0,0,0,0,0,0,0,0
"151","actor",0,0,0,0,0,0,0,0
"152","actual",0,0,0,0,0,0,0,0
"153","actuality",0,0,0,0,0,0,0,0
"154","actuary",0,0,0,0,0,0,0,0
"155","acuity",0,0,0,0,0,0,0,0
"156","acumen",0,0,0,0,0,0,0,0
"157","acupuncture",0,0,0,0,0,0,0,0
"158","acutely",0,0,0,0,0,0,0,0
"159","adage",0,0,0,0,0,0,0,0
"160","adamant",0,0,0,0,0,0,0,0
"161","adapt",0,0,0,0,0,0,0,0
"162","adaptable",0,0,0,0,0,0,0,0
"163","add",0,0,0,0,0,0,0,0
"164","added",0,0,0,0,0,0,0,0
"165","addendum",0,0,0,0,0,0,0,0
"166","adder",1,0,1,1,0,1,0,0
"167","addiction",0,0,0,0,0,0,0,0
"168","addition",0,0,0,0,0,0,0,0
"169","additional",0,0,0,0,0,0,0,0
"170","additive",0,0,0,0,0,0,0,0
"171","address",0,0,0,0,0,0,0,0
"172","addressee",0,0,0,0,0,0,0,0
"173","addresses",0,1,0,0,0,0,0,0
"174","adept",0,0,0,0,0,0,0,0
"175","adequacy",0,0,0,0,0,0,0,0
"176","adequate",0,0,0,0,0,0,0,0
"177","adhere",0,0,0,0,0,0,0,0
"178","adherence",0,0,0,0,0,0,0,0
"179","adherent",0,0,0,0,0,0,0,0
"180","adhering",0,0,0,0,0,0,0,1
"181","adhesion",0,0,0,0,0,0,0,0
"182","adhesive",0,0,0,0,0,0,0,0
"183","adieu",0,0,0,0,0,0,0,0
"184","adipose",0,0,0,0,0,0,0,0
"185","adjacency",0,0,0,0,0,0,0,0
"186","adjacent",0,0,0,0,0,0,0,0
"187","adjective",0,0,0,0,0,0,0,0
"188","adjoining",0,0,0,0,0,0,0,0
"189","adjourn",0,0,0,0,0,0,0,0
"190","adjournment",0,0,0,0,0,0,0,0
"191","adjudicate",0,0,0,1,0,0,0,0
"192","adjudication",0,0,0,0,0,0,0,0
"193","adjunct",0,0,0,0,0,0,0,0
"194","adjust",0,0,0,0,0,0,0,0
"195","adjustment",0,0,0,0,0,0,0,0
"196","adjuvant",0,0,0,0,0,0,0,0
"197","administer",0,0,0,0,0,0,0,0
"198","administration",0,0,0,0,0,0,0,0
"199","administrative",0,0,0,0,0,0,0,1
"200","admirable",0,0,0,0,1,0,0,1
"201","admiral",0,0,0,0,0,0,0,1
"202","admiralty",0,0,0,0,0,0,0,0
"203","admiration",0,0,0,0,1,0,0,1
"204","admire",0,0,0,0,0,0,0,1
"205","admirer",0,0,0,0,0,0,0,0
"206","admissibility",0,0,0,0,0,0,0,0
"207","admissible",0,0,0,0,0,0,0,1
"208","admission",0,0,0,0,0,0,0,0
"209","admit",0,0,0,0,0,0,0,0
"210","admittance",0,0,0,0,0,0,0,0
"211","admitted",0,0,0,0,0,0,0,0
"212","admitting",0,0,0,0,0,0,0,0
"213","admixture",0,0,0,0,0,0,0,0
"214","admonition",0,0,0,1,0,0,0,0
"215","ado",0,0,0,0,0,0,0,0
"216","adobe",0,0,0,0,0,0,0,0
"217","adolescence",0,0,0,0,0,0,0,0
"218","adolescent",0,0,0,0,0,0,0,0
"219","adopt",0,0,0,0,0,0,0,0
"220","adoption",0,0,0,0,0,0,0,0
"221","adorable",0,0,0,0,1,0,0,0
"222","adoration",0,0,0,0,1,0,0,1
"223","adore",0,1,0,0,1,0,0,1
"224","adorn",0,0,0,0,0,0,0,0
"225","adornment",0,0,0,0,0,0,0,0
"226","adrift",0,1,0,1,0,1,0,0
"227","adult",0,0,0,0,0,0,0,0
"228","adulterated",0,0,0,0,0,0,0,0
"229","adultery",0,0,1,0,0,1,0,0
"230","advance",0,1,0,1,1,0,1,0
"231","advanced",0,0,0,0,0,0,0,0
"232","advancement",0,0,0,0,0,0,0,0
"233","advancing",0,0,0,0,0,0,0,0
"234","advantage",0,0,0,0,0,0,0,0
"235","advantageous",0,0,0,0,0,0,0,0
"236","advent",0,1,0,0,1,0,0,1
"237","adventure",0,1,0,0,0,0,0,0
"238","adventurer",0,0,0,0,0,0,0,0
"239","adventurous",0,0,0,0,0,0,0,0
"240","adversary",1,0,0,0,0,0,0,0
"241","adverse",1,0,1,1,0,1,0,0
"242","adversity",1,0,0,1,0,1,0,0
"243","advertise",0,0,0,0,0,0,0,0
"244","advertisement",0,0,0,0,0,0,0,0
"245","advice",0,0,0,0,0,0,0,1
"246","advisable",0,0,0,0,0,0,0,1
"247","advise",0,0,0,0,0,0,0,1
"248","advised",0,0,0,0,0,0,0,1
"249","advisement",0,0,0,0,0,0,0,0
"250","adviser",0,0,0,0,0,0,0,1
"251","advocacy",1,1,0,0,1,0,0,1
"252","advocate",0,0,0,0,0,0,0,1
"253","aegis",0,0,0,0,0,0,0,0
"254","aeration",0,0,0,0,0,0,0,0
"255","aerial",0,0,0,0,0,0,0,0
"256","aerodrome",0,0,0,0,0,0,0,0
"257","aerodynamics",0,0,0,0,0,0,0,0
"258","aeronautics",0,0,0,0,0,0,0,0
"259","aeroplane",0,0,0,0,0,0,0,0
"260","aesthetic",0,0,0,0,0,0,0,0
"261","aesthetics",0,0,0,0,1,0,0,0
"262","aetiology",0,0,0,0,0,0,0,0
"263","afar",0,0,0,0,0,0,0,0
"264","affable",0,0,0,0,0,0,0,0
"265","affair",0,0,0,0,0,0,0,0
"266","affecting",0,0,0,0,0,0,0,0
"267","affection",0,0,0,0,1,0,0,1
"268","affections",0,0,0,0,0,0,0,0
"269","affiche",0,0,0,0,0,0,0,0
"270","affidavit",0,0,0,0,0,0,0,0
"271","affiliated",0,0,0,0,0,0,0,0
"272","affiliation",0,0,0,0,0,0,0,0
"273","affinity",0,0,0,0,0,0,0,0
"274","affirm",0,0,0,0,0,0,0,1
"275","affirmation",0,0,0,0,0,0,0,0
"276","affirmative",0,0,0,0,0,0,0,0
"277","affirmatively",0,0,0,0,0,0,0,1
"278","affix",0,0,0,0,0,0,0,0
"279","afflict",0,0,0,1,0,1,0,0
"280","afflicted",0,0,0,0,0,0,0,0
"281","affliction",0,0,1,1,0,1,0,0
"282","affluence",0,0,0,0,1,0,0,0
"283","affluent",0,0,0,0,0,0,0,0
"284","afford",0,0,0,0,0,0,0,0
"285","affront",1,0,1,1,0,1,1,0
"286","afield",0,0,0,0,0,0,0,0
"287","afore",0,0,0,0,0,0,0,0
"288","aforementioned",0,0,0,0,0,0,0,0
"289","aforesaid",0,0,0,0,0,0,0,0
"290","afraid",0,0,0,1,0,0,0,0
"291","afresh",0,0,0,0,0,0,0,0
"292","aft",0,0,0,0,0,0,0,0
"293","aftermath",1,0,1,1,0,1,0,0
"294","afternoon",0,0,0,0,0,0,0,0
"295","aftertaste",0,0,0,0,0,0,0,0
"296","afterthought",0,0,0,0,0,0,0,0
"297","aga",0,0,0,1,0,0,0,1
"298","agate",0,0,0,0,0,0,0,0
"299","age",0,0,0,0,0,0,0,0
"300","aged",0,0,0,0,0,0,0,0
"301","agency",0,0,0,0,0,0,0,0
"302","agent",0,0,0,0,0,0,0,0
"303","agglomeration",0,0,0,0,0,0,0,0
"304","aggravated",1,0,0,0,0,0,0,0
"305","aggravating",1,0,0,0,0,1,0,0
"306","aggravation",1,0,1,0,0,0,0,0
"307","aggregate",0,0,0,0,0,0,0,0
"308","aggregation",0,0,0,0,0,0,0,0
"309","aggression",1,0,0,1,0,0,0,0
"310","aggressive",1,0,0,1,0,0,0,0
"311","aggressor",1,0,0,1,0,0,0,0
"312","aghast",0,0,1,1,0,0,1,0
"313","agile",0,0,0,0,0,0,0,0
"314","agility",0,0,0,0,0,0,0,0
"315","agitated",1,0,0,0,0,0,0,0
"316","agitation",1,0,0,0,0,0,0,0
"317","agnostic",0,0,0,0,0,0,0,0
"318","ago",0,0,0,0,0,0,0,0
"319","agonizing",0,0,0,1,0,0,0,0
"320","agony",1,0,0,1,0,1,0,0
"321","agree",0,0,0,0,0,0,0,0
"322","agreeable",0,0,0,0,0,0,0,1
"323","agreed",0,0,0,0,0,0,0,1
"324","agreeing",0,0,0,0,0,0,0,1
"325","agreement",0,0,0,0,0,0,0,1
"326","agricultural",0,0,0,0,0,0,0,0
"327","agriculture",0,0,0,0,0,0,0,0
"328","aground",0,0,0,0,0,0,0,0
"329","agua",0,0,0,0,0,0,0,0
"330","ahead",0,0,0,0,0,0,0,0
"331","aid",0,0,0,0,0,0,0,0
"332","aiding",0,0,0,0,0,0,0,0
"333","ail",0,0,0,0,0,1,0,0
"334","ailing",0,0,0,1,0,1,0,0
"335","ailment",0,0,0,0,0,0,0,0
"336","aim",0,0,0,0,0,0,0,0
"337","aimless",0,0,0,0,0,0,0,0
"338","air",0,0,0,0,0,0,0,0
"339","airbag",0,0,0,0,0,0,0,0
"340","airlift",0,0,0,0,0,0,0,0
"341","airline",0,0,0,0,0,0,0,0
"342","airman",0,0,0,0,0,0,0,0
"343","airplane",0,0,0,0,0,0,0,0
"344","airport",0,1,0,0,0,0,0,0
"345","airs",0,0,1,0,0,0,0,0
"346","airship",0,0,0,0,0,0,0,0
"347","aisle",0,0,0,0,0,0,0,0
"348","ait",0,0,0,0,0,0,0,0
"349","ajar",0,0,0,0,0,0,0,0
"350","akin",0,0,0,0,0,0,0,1
"351","alabaster",0,0,0,0,0,0,0,0
"352","alarm",0,0,0,1,0,0,1,0
"353","alarming",0,0,0,1,0,0,1,0
"354","alb",0,0,0,0,0,0,0,1
"355","album",0,0,0,0,0,0,0,0
"356","alchemy",0,0,0,0,0,0,0,0
"357","alcohol",0,0,0,0,0,0,0,0
"358","alcoholism",1,0,1,1,0,1,0,0
"359","alcove",0,0,0,0,0,0,0,0
"360","alert",0,0,0,0,0,0,0,0
"361","alertness",0,1,0,1,0,0,1,0
"362","alerts",0,1,0,1,0,0,1,0
"363","alfalfa",0,0,0,0,0,0,0,0
"364","algebra",0,0,0,0,0,0,0,0
"365","algebraic",0,0,0,0,0,0,0,0
"366","algorithm",0,0,0,0,0,0,0,0
"367","alibi",0,0,0,0,0,0,0,0
"368","alien",0,0,1,1,0,0,0,0
"369","alienate",1,0,1,0,0,0,0,0
"370","alienated",0,0,0,0,0,1,0,0
"371","alienation",1,0,1,1,0,1,0,0
"372","alight",0,0,0,0,0,0,0,0
"373","aligned",0,0,0,0,0,0,0,0
"374","alignment",0,0,0,0,0,0,0,0
"375","alike",0,0,0,0,0,0,0,0
"376","alimentation",0,0,0,0,0,0,0,0
"377","alimony",0,0,0,0,0,0,0,0
"378","aliquot",0,0,0,0,0,0,0,0
"379","alive",0,1,0,0,1,0,0,1
"380","alkali",0,0,0,0,0,0,0,0
"381","alkaloids",0,0,0,0,0,0,0,0
"382","allay",0,0,0,0,0,0,0,0
"383","allegation",1,0,0,0,0,0,0,0
"384","allege",0,0,0,0,0,0,0,0
"385","alleged",0,0,0,0,0,0,0,0
"386","allegiance",0,0,0,0,0,0,0,1
"387","allegorical",0,0,0,0,0,0,0,0
"388","allegory",0,0,0,0,0,0,0,0
"389","allegro",0,0,0,0,0,0,0,0
"390","alleviate",0,0,0,0,0,0,0,0
"391","alleviation",0,0,0,0,0,0,0,0
"392","alley",0,0,0,0,0,0,0,0
"393","alliance",0,0,0,0,0,0,0,1
"394","allied",0,0,0,0,0,0,0,1
"395","alligator",0,0,0,0,0,0,0,0
"396","allocate",0,0,0,0,0,0,0,0
"397","allocation",0,0,0,0,0,0,0,0
"398","allot",0,0,0,0,0,0,0,0
"399","allotment",0,0,0,0,0,0,0,0
"400","allowable",0,0,0,0,0,0,0,0
"401","allowance",0,0,0,0,0,0,0,0
"402","allowed",0,0,0,0,0,0,0,0
"403","alloy",0,0,0,0,0,0,0,0
"404","allure",0,1,0,0,1,0,1,0
"405","alluring",0,0,0,0,0,0,0,0
"406","allusion",0,0,0,0,0,0,0,0
"407","alluvial",0,0,0,0,0,0,0,0
"408","ally",0,0,0,0,0,0,0,1
"409","almanac",0,0,0,0,0,0,0,0
"410","almighty",0,0,0,0,0,0,0,0
"411","aloft",0,0,0,0,0,0,0,0
"412","aloha",0,1,0,0,1,0,0,0
"413","alongside",0,0,0,0,0,0,0,0
"414","aloof",0,0,0,0,0,0,0,0
"415","aloud",0,0,0,0,0,0,0,0
"416","alphabet",0,0,0,0,0,0,0,0
"417","alphabetical",0,0,0,0,0,0,0,0
"418","altar",0,0,0,0,0,0,0,0
"419","alter",0,0,0,0,0,0,0,0
"420","alteration",0,0,0,0,0,0,0,0
"421","altercation",1,0,0,0,0,0,0,0
"422","altered",0,0,0,0,0,0,0,0
"423","alternate",0,0,0,0,0,0,0,0
"424","alternative",0,0,0,0,0,0,0,0
"425","altitude",0,0,0,0,0,0,0,0
"426","alto",0,0,0,0,0,0,0,0
"427","altogether",0,0,0,0,0,0,0,0
"428","alumnus",0,0,0,0,0,0,0,0
"429","alveolar",0,0,0,0,0,0,0,0
"430","amalgam",0,0,0,0,0,0,0,0
"431","amalgamation",0,0,0,0,0,0,0,0
"432","amass",0,0,0,0,0,0,0,0
"433","amateur",0,0,0,0,0,0,0,0
"434","amaze",0,0,0,0,0,0,1,0
"435","amazement",0,0,0,0,0,0,0,0
"436","amazingly",0,0,0,0,1,0,1,0
"437","ambassador",0,0,0,0,0,0,0,1
"438","amber",0,0,0,0,0,0,0,0
"439","ambient",0,0,0,0,0,0,0,0
"440","ambiguity",0,0,0,0,0,0,0,0
"441","ambiguous",0,0,0,0,0,0,0,0
"442","ambit",0,0,0,0,0,0,0,0
"443","ambition",0,1,0,0,1,0,0,1
"444","ambitious",0,0,0,0,0,0,0,0
"445","ambulance",0,0,0,1,0,0,0,1
"446","ambush",1,0,0,1,0,0,1,0
"447","ameliorate",0,0,0,0,0,0,0,0
"448","amen",0,0,0,0,1,0,0,1
"449","amenable",0,0,0,0,0,0,0,0
"450","amend",0,0,0,0,0,0,0,0
"451","amendment",0,0,0,0,0,0,0,0
"452","amends",0,0,0,0,0,0,0,0
"453","amenity",0,0,0,0,0,0,0,0
"454","amethyst",0,0,0,0,0,0,0,0
"455","amiable",0,0,0,0,0,0,0,0
"456","amicable",0,0,0,0,1,0,0,0
"457","amid",0,0,0,0,0,0,0,0
"458","amidst",0,0,0,0,0,0,0,0
"459","ammonia",0,0,1,0,0,0,0,0
"460","ammunition",0,0,0,0,0,0,0,0
"461","amnesia",0,0,0,0,0,0,0,0
"462","amnesty",0,0,0,0,1,0,0,0
"463","amorphous",0,0,0,0,0,0,0,0
"464","amortization",0,0,0,0,0,0,0,1
"465","amount",0,0,0,0,0,0,0,0
"466","amour",0,1,0,0,1,0,0,1
"467","ampersand",0,0,0,0,0,0,0,0
"468","amphetamines",0,0,1,0,0,0,0,0
"469","amphibian",0,0,0,0,0,0,0,0
"470","amphibious",0,0,0,0,0,0,0,0
"471","amphitheater",0,0,0,0,0,0,0,0
"472","amplification",0,0,0,0,0,0,0,0
"473","amplify",0,0,0,0,0,0,0,0
"474","amplitude",0,0,0,0,0,0,0,0
"475","amply",0,0,0,0,0,0,0,0
"476","amputation",0,0,0,0,0,0,0,0
"477","amulet",0,0,0,0,0,0,0,0
"478","amuse",0,0,0,0,1,0,0,0
"479","amused",0,0,0,0,1,0,0,0
"480","amusement",0,0,0,0,1,0,0,0
"481","amusing",0,0,0,0,1,0,0,0
"482","ana",0,0,0,0,0,0,0,0
"483","anaconda",0,0,1,1,0,0,0,0
"484","anaesthesia",0,0,0,0,0,0,0,0
"485","anaesthetic",0,0,0,0,0,0,0,0
"486","anal",0,0,0,0,0,0,0,0
"487","analgesic",0,0,0,0,0,0,0,0
"488","analogous",0,0,0,0,0,0,0,0
"489","analogue",0,0,0,0,0,0,0,0
"490","analogy",0,0,0,0,0,0,0,0
"491","analysis",0,0,0,0,0,0,0,0
"492","analyst",0,1,0,0,0,0,0,1
"493","analytic",0,0,0,0,0,0,0,0
"494","analyze",0,0,0,0,0,0,0,0
"495","analyzer",0,0,0,0,0,0,0,0
"496","anarchism",1,0,0,1,0,0,0,0
"497","anarchist",1,0,0,1,0,0,0,0
"498","anarchy",1,0,0,1,0,0,0,0
"499","anastomosis",0,0,0,0,0,0,0,0
"500","anathema",1,0,1,1,0,1,0,0
"501","anatomic",0,0,0,0,0,0,0,0
"502","anatomy",0,0,0,0,0,0,0,0
"503","ancestor",0,0,0,0,0,0,0,0
"504","ancestral",0,0,0,0,0,0,0,1
"505","ancestry",0,0,0,0,0,0,0,0
"506","anchor",0,0,0,0,0,0,0,0
"507","anchorage",0,0,0,0,0,1,0,0
"508","ancient",0,0,0,0,0,0,0,0
"509","ancillary",0,0,0,0,0,0,0,0
"510","androgen",0,0,0,0,0,0,0,0
"511","anemone",0,0,0,0,0,0,0,0
"512","anew",0,0,0,0,0,0,0,0
"513","angel",0,1,0,0,1,0,1,1
"514","angelic",0,0,0,0,1,0,0,1
"515","anger",1,0,0,0,0,0,0,0
"516","angina",0,0,0,1,0,0,0,0
"517","angiography",0,0,0,0,0,0,0,0
"518","angle",0,0,0,0,0,0,0,0
"519","angling",0,1,0,0,0,0,0,0
"520","angry",1,0,1,0,0,0,0,0
"521","anguish",1,0,0,1,0,1,0,0
"522","angular",0,0,0,0,0,0,0,0
"523","anhydrous",0,0,0,0,0,0,0,0
"524","animal",0,0,0,0,0,0,0,0
"525","animate",0,0,0,0,0,0,0,0
"526","animated",0,0,0,0,1,0,0,0
"527","animation",0,0,0,0,0,0,0,0
"528","animosity",1,0,1,1,0,1,0,0
"529","animus",1,0,0,0,0,0,0,0
"530","ankle",0,0,0,0,0,0,0,0
"531","annals",0,0,0,0,0,0,0,0
"532","annex",0,0,0,0,0,0,0,0
"533","annexation",0,0,0,0,0,0,0,0
"534","annexe",0,0,0,0,0,0,0,0
"535","annihilate",1,0,0,1,0,0,0,0
"536","annihilated",1,0,0,1,0,1,0,0
"537","annihilation",1,0,0,1,0,1,0,0
"538","annotate",0,0,0,0,0,0,0,0
"539","annotation",0,0,0,0,0,0,0,0
"540","announce",0,0,0,0,0,0,0,0
"541","announcement",0,1,0,0,0,0,0,0
"542","annoy",1,0,1,0,0,0,0,0
"543","annoyance",1,0,1,0,0,0,0,0
"544","annoying",1,0,0,0,0,0,0,0
"545","annuity",0,0,0,0,0,0,0,0
"546","annul",0,0,0,0,0,0,0,0
"547","annular",0,0,0,0,0,0,0,0
"548","annulment",0,0,0,0,0,1,0,0
"549","annulus",0,0,0,0,0,0,0,0
"550","anointing",0,0,0,0,0,0,0,0
"551","anomalous",0,0,0,0,0,0,0,0
"552","anomaly",0,0,0,1,0,0,1,0
"553","anon",0,0,0,0,0,0,0,0
"554","anonymous",0,0,0,0,0,0,0,0
"555","answer",0,0,0,0,0,0,0,0
"556","answerable",0,0,0,0,0,0,0,1
"557","answering",0,0,0,0,0,0,0,0
"558","ant",0,0,0,0,0,0,0,0
"559","antagonism",1,0,0,0,0,0,0,0
"560","antagonist",1,0,0,0,0,0,0,0
"561","antagonistic",1,0,1,0,0,0,0,0
"562","ante",0,0,0,0,0,0,0,0
"563","antecedent",0,0,0,0,0,0,0,0
"564","antelope",0,0,0,0,0,0,0,0
"565","antenna",0,0,0,0,0,0,0,0
"566","anterior",0,0,0,0,0,0,0,0
"567","anthem",0,0,0,0,0,0,0,0
"568","anthology",0,0,0,0,0,0,0,0
"569","anthrax",0,0,1,1,0,1,0,0
"570","anthropology",0,0,0,0,0,0,0,0
"571","antibiotic",0,0,0,0,0,0,0,0
"572","antibiotics",0,0,0,0,0,0,0,0
"573","antichrist",1,0,1,1,0,0,0,0
"574","anticipation",0,1,0,0,0,0,0,0
"575","anticipatory",0,1,0,0,0,0,0,0
"576","antidote",0,1,0,0,0,0,0,1
"577","antifungal",0,0,0,0,0,0,0,1
"578","antimony",0,0,0,0,0,0,0,0
"579","antipathy",1,0,1,0,0,0,0,0
"580","antiquarian",0,0,0,0,0,0,0,0
"581","antiquated",0,0,0,0,0,0,0,0
"582","antique",0,0,0,0,0,0,0,0
"583","antiquity",0,0,0,0,0,0,0,0
"584","antiseptic",0,0,0,0,0,0,0,1
"585","antisocial",1,0,1,1,0,1,0,0
"586","antithesis",1,0,0,0,0,0,0,0
"587","antithetical",0,0,0,0,0,0,0,0
"588","antiviral",0,0,0,0,0,0,0,0
"589","antler",0,0,0,0,0,0,0,0
"590","anvil",0,0,0,0,0,0,0,0
"591","anxiety",1,1,0,1,0,1,0,0
"592","anxious",0,1,0,1,0,0,0,0
"593","aorta",0,0,0,0,0,0,0,0
"594","apace",0,0,0,0,0,0,0,0
"595","apache",0,0,0,1,0,0,0,0
"596","apartment",0,0,0,0,0,0,0,0
"597","apathetic",0,0,0,0,0,1,0,0
"598","apathy",0,0,0,0,0,1,0,0
"599","ape",0,0,0,0,0,0,0,0
"600","aperture",0,0,0,0,0,0,0,0
"601","apex",0,0,0,0,0,0,0,0
