,tweet,class,prediction
6195,"WEBBERS! RT @DMILZ4: Sz13 vnds restorers dream, cracked midsole, sole separation, and fogged bubbles. 150 http://t.co/yC81VG2kg1",2,0
17780,@Fulf_ShawnFulf peckerwood,1,2
1981,"""@TheOneMiss_Luu: Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass.",1,0
1994,"No officer I wasn't drunk driving, I was swerving on them hoes.",1,2
8766,RT @RakwonOGOD: &#8220;Bros before hoes&#8221; - a bro with no hoes,1,2
15537,@A_Little_Wicked that's not ghetto. That's sweet and a movie quote. Try again,2,1
3415,Dudes a faggot Pahahaha,1,0
5382,"I want some fire crackers not the baby ass fire works, Does Az have fire crackers ???",1,2
6506,@bsails33 dyke ron&#127752;&#127917;&#128514;,1,2
17515,"RT @SUPERi0R_422: My daddy told me not to date a man with soft hands lol... Either he doesn't do hard labor or he's a ""faggot"".",1,0
15494,"Basically, so...just do you. *shrugs* RT @CruzanChoklate: So if you're worried about being a ho or looking like one, good luck.",1,2
16643,"But you love me, you don't wanna be with nobody else, blah blah.. Bullshit fa the birds..",1,2
7092,I bought hummus and broccoli. I just need snacks and shit. RT @Omgitstamz: i need to buy crackers and shit,1,2
5952,@mayhemmiller faggot,1,0
210,"bitch kill yoself, go on to the bathroom and eat the pills bitch, all of em",0,1
3207,@Corey_D_23 damn bro.. ps4 trash lol,1,2
13736,Sapete che? Vi odio..... ho finito..,2,1
17505,RT @BeYouTiful_Pris: Recognize that I'm a star player &amp; leave them hoe fans of yours alone. http://t.co/fd5Cioehgg,1,2
7583,"Spending money on these hoes , nigga you aint fuck SHIT &#10071;&#65039;",0,1
115,@selenalinn_ the jets are trash my bad i see what you meant &#128514;,2,1
2235,@BarackObama @MarchForInnov send them damn beaners back where they belong n the US aint it,0,1
6442,@S_Roach happy birthday nicca do coon shit in a responsible way.,0,2
1530,@white_thunduh my bitch dont want your ugly ass gtfo ol peyton manning lookin ass,0,1
17765,RT @Yaremisxo: You hoes ain't worth losing sleep over,1,2
2585,are you serious right now? Hypocritical and double standards? Fuck outta my face with that trash,1,0
3222,These girls eyebrows make them look like 2$ hoes walking down FIB,1,2
2388,@WarriorRN61 @mrgeology you inferred he tried to ho to Nam. He did not. He dodged it. He is no great leader.,2,1
200,"@Gertrude_Larue 
I is colored, Latino and some Jewish. When I move in, I don't ruin the neighborhood, I wipe it out!",2,0
13366,He's trash. &#8220;@jlojpg: @TRAPGURLRON he said he's not doing collabs for anything less than 10 mil naira like booyyyyyy &#128514;&#8221;,2,1
16249,"@SoftestMuffin @_tee13 @TorahBlaze at the end of the day, they call yo dumb ass monkey, picka'nanny hoe. But u luv them white devils",0,1
2119,Up like an eagle tryna catch the early bird that catches the worm.,2,1
17590,@JacsonBevens @markkiszla absolutely retarded article http://t.co/3hSVTYOXFf,1,2
15239,He was talking about I'm on one lol. How was that even possible when I was on a cruise ship with no phone service negro?,1,0
14804,RT @_James_Kirby_: The bigger the hoops the bigger the hoe #jerryspringer #classic #truthhurts,1,0
7946,goodnight you stuck up twats for not laughing at my tweets,1,2
12443,Can't stand bitch ass niggas.,0,1
6950,"Dem hoes more &#128686; &#8220;@LeanandCuisine: This nigga out here fucking retired widows &#8220;@Irsuns: New Race, fuck Black Woman http://t.co/tCSiJi6a0D&#8221;&#8221;",1,0
15610,@CandiElissa @twitRless_kb @ElissaReillyS @HelenKimFitz76 elissa is such a fake cunt,1,0
15946,@MichaelFraughto haha faggot,1,0
5227,#YouWillNotBeTakenSeriouslyIf you're proud to be white trash #KedollarSignHa,1,0
19512,The only part of the awards that I liked was the dykes part of the cypher &amp; the old skool female MCs.,1,2
17002,In reality lame niggas and corny niggas get bitches bc it's sooo many of dem niggas nbs lol,1,0
14627,I love how hoes be like omg warped tour yayyyyy #gaaaaaaaaaaaay,1,0
8008,What a wifey would understand a hoe could never comprehend,1,2
12412,We trash,1,2
11863,@2LEGIT4that go be cunt somewhere else,1,0
9085,"""@MaxMayo77: http://t.co/XpSC3makgJ"" sexy lad with hot soles and arches.",2,1
11759,@RihannaHasAids I knew farquaad a faggot,1,0
5248,Want to touch tha boootyyyyy....neeeeed to touch the heinie &#127825;,2,1
13088,Females be damn near naked wondering why niccas jus wanna fuk lol,1,0
16645,RT @PlMPCESS: im so fucking done with @sprint i fucking hate you guys and your insurance policy is trash and omg square the fuck up,1,0
14655,"@argylegray @JTrevorHowerton @HollyRFisher I don't give a flying fuck what you think about my tweets, worthless teabagger scum.",1,0
14416,2 #iubb games when im in #bloomington #btown how good is that?! #ncaa #basketball #college #Indiana #iu #hoosiers,2,1
19721,You should probably go clean your nasty pussy and not worry about wtf I'm doing.,1,2
257,RT @FemsHaveBallz: You can no longer run a business n America unless it's deemed acceptable by 1 political group of retards known as democr&#8230;,0,2
16871,"""You look like little birds help you get dressed in the morning""",2,1
11247,@TerryTGood @1DancingCrane The Moors used to give kids free lunch in the Bronx when I was a kid. Glad to see they are still doing good.,2,1
16935,"RT ""@DestineyDunbar: This shit for the birds . &#128530;&#8221;",1,2
346,RT @Juicy_Squeaky: Any bitch who need a crowd to fight is clearly easily influenced &amp; weak minded &amp; most likely will commit suicide &#128514;&#128514;,0,1
2968,"RT @Bidenshairplugs: Number of women denied birth control by Hobby Lobby: 0

Number of Democrat retards butthurt by the verdict: 30,000,000&#8230;",1,2
15959,"Picture time outside of metro, fucking fags",1,0
9066,Indiana lost to Bowling Green. Big Ten continues to be trash.,2,0
1869,RT @dsrtvet: @FoxNews @tjoy7 And I don't have any confidence NONWHATSOEVER in you Barack! You're the sole reason why this country is in thi&#8230;,2,0
5701,@Linnlondon1 I want some clams on the half shell :-) http://t.co/uFCAjNNQTZ,2,1
8845,RT @ShitPussiesSay: Lets butt chug Mikes Hard Lemonade,1,2
8955,@Yankees probably time to put this twitter feed to bed #nyy,2,1
14386,The birds and the bees &#128038;&#128029;,2,1
14450,You gotta block dumb hoes,1,0
18974,RT @TheeeSickestKid: Yo bag Gucci but you still ugly hoe shut up,1,0
9593,&#8220;@Tom_2Times: Making weed brownies tonight&#8221; goin slide me a batch relo,2,1
10711,Literally every man in my fam copped a bad white bitch as a wife. I ain't even boutta break da chain. Unless a latina comes around,0,1
13173,"#porn,#android,#iphone,#ipad,#sex,#xxx, | #Desi | paki http://t.co/cOfGRtW9br",2,1
13066,RT @_missvain: Lmfaooooo &gt;RT @sirTurn3r: Lmaoo Thats what u got from this? RT @waddupivy: Dougie be yamming the coon all that beat boxing &#128553;,0,1
10662,"HYSTERICAL!! Calling BHO a monkey! #NorthKorea &lt; may be a bunch of assholes, but that comment made me belly laugh!!!",1,2
12414,"@Jalenhendricks4 hoes saying ""eyebrows on fleek"" .. Search it on twitter",1,2
10090,"@RBesofii 
Cants even fool a colored man wit dis bullshit http://t.co/gtln1tpMgi",1,2
14159,@Staydelusional I texted u fag,1,0
6015,@iamJAYUNO shuddup hoe,1,0
17741,RT @Arbogucci: Brandon Phelps a hoe ass nigga And wen I see him I'ma smack him like da lil bitch he is #300,0,1
5847,This no beef thing is for the birds!!!,2,1
11270,Norwalk ghetto af lol all of a sudden everyone a dodger and raider fan,2,1
6023,coulda been trash talking that nigga cuz NIGGA GOT SPANKEDDD IN FANTASY,1,2
12823,"""@NotoriousBM95: @_WhitePonyJr_ Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo",0,2
1807,@noturavurage You can roll? And what you got to eat? Barter system my nig!,1,2
10134,"&#8220;@TKetterhagen: &#8220;@lars_matthews: &#8220;@Nspan17: I really only like like 3 people in this town, everyone else is a faggot&#8221; me&#8221; me&#8221; me",1,0
3,Think it's okay to take my property and break it? Fuck you bitch,0,1
19296,"RT @Roulettista: Mertesacker saying ""give him the ghetto fist"" is still goat",2,1
9502,These birds messy.,2,1
14878,Fuck that nigga's shit up! Olivia's pussy got Fitz going batshit!!!,0,1
16104,"""@Poffalicious: Andrewbryant: Poff has double vision after 2 beers
Poff: ... Double pussy &#128526;"" smh",1,2
1624,I like taking niggas hoes but I stop doing that &#9995;,0,1
42,RT @DestroTheNoble: I don't support that ya idiot. And if I'm a teabagger you're being teabagged. #OpenWide @nekolin @1SleepingGiant,0,2
19408,lmao RT @SirRocObama: Lmaooo RT @ToeKnee2GX: &#128557;&#128557;&#128557;&#128557;&#128557;&#128557;&#128557; RT @PeachDulce: I'm not a hoe I'm a people person,1,2
10305,&#8220;@WhatTheFFacts: An orangutan once tried to have sex with actress Julia Roberts.&#8221;Smart monkey&#128514;,1,2
13571,"RT @markhoppus: Yes, yes I know all about the FOB reconciliation. IT WAS MY IDEA! You're welcome.",2,1
6812,"@_LezzzBeHonest 
I'm colored. Ain't supposed to be no good influence",1,2
5610,"-Can I help you?
-Maybe. You gotta card for &#8220;Sorry that tranny died in your motel room; now your wife knows. Here&#8217;s an Applebees gift card&#8221;?",2,1
2930,John Kerry.... the SELLOUT: http://t.co/SFIRSvDy #neverforget how this pussy screwed our troops in Vietnam. Now he's rewarded. Disgusting.,1,2
4519,@Iemonaids done that spell check we know you meant fat liberal Dyke feminist Nazi bitches,0,1
7033,"@KCJHoop pretty sure you meant flight and not flite, dumb ass cracker.",1,2
12798,"@oliviagobert lmao yes I kind of like it it's not that ghetto yet &amp; they are and then he says ""u feel me"" &#128525;&#128525;&#128557;&#128166;",2,1
980,@YFN_NESHA all the great QB's fold under pressure gshit if u blitz Peyton ass he gon gook out,1,2
4028,@Fit4LifeMike @chanelisabeth hoe don't make me put up screenshots of your texts to me hoe,0,1
1297,RT @IAm_Beautyfull: my chink ass eyes &#128557;&#128584;,1,2
15079,"RT @ClicquotSuave: Perfect vision....Me, my niggs, mas hoes, mas clicquot, mas dom p, mas moet, ""my type of party"" blasting out a Cali condo",1,0
14170,My asshole credentials? Even rednecks hate me.,1,2
10034,@jsimsromance My guy is a Maine coon and a total cuddle bum. Every one that I've ever met has been super friendly.,2,1
19641,ur trash! http://t.co/6KN7PzTgl8,1,2
3341,I hate when i see a cold hoe tryna kick knowledge,1,2
12295,Thou shall not mock Ryan(the future)Kelly,2,0
2677,Their gotta be a loaded lux vs Murda mook 3,2,1
10538,@SalaciousSully hopefully not back in da ghetto?,2,1
351,RT @Blessedyaszay: #IWantToPunchPeopleWho mock God,2,1
2026,"I hate when people tell me I have to many tattoos, and they make me look ugly. Like bitch fuck you",0,1
12332,"My nig ""@im_me_mi: ""@oneshadowlove: yes black people live in Wisconsin lmao @80sbaby4life""shock da shit out me too #learnsomethingeveryday""",1,2
1901,Yall black ass hoes aint east African,1,2
1396,"@Boazziz He promised to stand with the muzzies, so...",2,0
1747,@mayormcginn @usmayors @SenFeinstein White people need those weapons to defend themselves from the subhuman trash your sort unleashes on us.,2,0
7719,u ho@RealWizKhalifa u hot i really like the way u keep te flow natural,2,1
7627,"@Strangleme Your mother looks like a tough-as-nails bird...I see where you got 1/2 of that from. Nice food, too!",2,0
16168,@SteveWorks4You pay your taxes teabaggers,2,1
9750,I hate you niccas! Lol http://t.co/NqSYeQhGOZ,0,1
16115,This nigga @80sbaby4life gotta weird gay shoe fetish...&amp; I'm sick of y'all letting this island nigger slide! http://t.co/E96cQ8kKBo,1,0
2034,"A real gangster ass nigga know the play, the real gangster ass niggas gets the flyest of the bitches, ask that gangster ass nigga little J",1,0
16227,My nicca Drake gear game is all bad lol,2,0
17803,"""Facto @ShaunaSayomi: Who cares if you a hoe when your ass looks like this? http://t.co/CJdT987aqf""",1,2
9363,@jaredlikelndn monkey dong,1,2
6165,WATCH-Military Monday Jihadi Bitches Slaying: BADASS - A-10 Silences Taliban During Intense Night Time Firefight... http://t.co/Px9cN8fCW5,1,0
5489,"Omg he's at it again. He's the most pathetic, spineless, no balls having piece of trash on twitter I've ever seen. Let me go throw up, blah.",1,2
11681,"""These sour apple bitter bitches, I'm not fuckin wit em""",0,1
10798,Its bros ova hoes but wifey comes before ya bros,1,2
1962,he's making fun of me cause I'm worried about the bird and he saying he's not surprised because I don't like splitting poles lol ugh jerk,2,1
3529,RT @anticvlum: @NoneShallPass97 trash eating trash,0,2
18448,"A dick has a sad life: His hair is a mess, his family is nuts, his neighbor's an asshole, his bestfriend's a pussy, &amp; his owner beats him.&#128514;&#128514;",1,2
8773,"RT @bakedbrotatoes: *spits out animal cracker*
This doesn't even taste like hippo.",2,1
9976,@klvyupthatsm3 @Huntermoore ew you look like a cheap tranny hooker,1,2
6417,Me n niccas ya type Neva exchange #'s .. Wanna talk down n still gain from us!,1,0
3070,"I thought it was bros over hoes , guess not &#128530;",1,2
6544,@YaGirlSmalls quit using song lyrics queer,1,0
17168,Smh hate that hoe,0,1
8204,@TryHardAlby looks like you're gonna blow someone fag,1,0
19742,"just like i made you hoes come for me , i can make yall go away &#128080;&#9996;&#65039;",1,2
18399,"RT @KaOs_GunnPlay: Ps4=a big booty hoe with tig ol bitties 
Xbox one=pancake booty hoe with pancake tits",1,2
8489,"When somebody ask ""where da hoes at"" universal answer is ""shit u got em""",1,2
4625,Hate this dyke,0,1
18663,@MrRedMartian this pic is trash. D!ck is dry af.,1,2
3857,Y'all hoes believe anything though,1,2
7834,#FreshmanAdvice and if you ain't a hoe get up out my traphouseeeeeeee,1,2
15288,"Got ya crackas, spics, chinks, and carpet riders but no niggas MLK ain't fight for nothing #GimmeABlackEmoji",1,0
19583,@kieffer_jason @hunterbuch66 @sbsylvester u fucking trailer trash,1,0
2676,"""Eff it. Let's go after the cripple."" http://t.co/kSaMx1JPfV",1,2
6311,"U can't stay the same &amp; expect change. U can't truly expect a good man if he call himself nigga, nigger.It means the same; A No Good Person!",1,0
14845,"95% of the truly talented people i've come across are retarded professionally. 95% of the awful, untalented people are on point and polite..",1,2
16685,@BriannaLovesA my trick is I wait for the bird to get close to the pipe and then tap the screen! So you never hit your head.,2,1
17097,y'all remember that tall ass dyke named Jay??? Lmfaooo,1,2
14526,@badnewsbridget lol fag,1,0
8300,@mrfoolycooly @DM___3 faggot alert,1,0
7267,Someone tell the royals to stay home there trash&#128553;,2,1
6067,&#8220;@leynachristina: I'm driving myself insane.&#8221;fag,1,0
11165,We hate you too lil nicca! Lol RT @redfernave: I Hate The Steelers Dawg,0,1
8260,"I bet that nigga @gucci1017 got charged for murder for tha intro of ""Gucci vs Guwop"" cause straight killed that hoe! #FreeGucci #FreeRadric",1,0
35,"RT @SenorSteez: Man, now these hoes know &#128514;&#128176;&#128182;&#128184; #TheJigIsUp http://t.co/8W9Ag3bx1a",1,2
14644,"RT @sickipedia: I drove my daughter's guinea pig to the vet's this morning. 

I'm quite handy with my new Callaway golf clubs.

#sickipedia",2,1
8474,she was telling me about this kid who's soles of his shoes are falling off. I am going to get him some shoes. hope his parents don't get mad,2,1
3043,@JjLoveUp tranny,2,1
16348,#portlandia #putabirdonit RT @mightymouse105: The Xbox One would be so much cooler if they put a bird on it,2,1
8607,"My son is 9 and still has issues tying his shoes because he's barefoot all the time, in case you wanted to know my hillbilly status.",2,1
18874,RT @southernshirt: The only things you need in life are comfy shirts and Oreos #southernshirt,2,1
13203,"Don't talk about Homecoming until you actually do it. Otherwise, anti-NF people have a reason to mock the Party.",2,1
16400,I bet you think you a no-chill savage huh. Fucking faggot @KILLSemaj,0,1
8076,"@STACCS_WNT_FOLD you tell me, coon.",0,1
5723,"All these afternoon groups are trash besides the Bubba, Keegs and Furyk group #TheMemorialTournament",2,1
8618,"@forgivemehera also, I put 'i touch myself' on a ned/chuck mix.",2,1
423,"@firemunky When did we become a nation of giant dripping whiny pussies, anyway?! MAKE THIS DUDE PRESIDENT! Of Iraq, even. He's the MAN!",1,0
11269,"""Your a queer"". &#128530;&#128530;&#128530;&#128530;",1,0
16240,@fairflattaxnow discredited by whom? Per the government the study is good and factual. Pay your bills moocher teabaggers and republicans,2,0
8360,This nigga solving rubik cubes doing magic tricks &amp; he still ain't getting no pussy &#128514;&#128514;&#128514;,1,0
14470,...but if a SHOW about #Obama was called #Whitish ..........y'all motherfuckers would cry #racist like lil bitches. #Blackish,1,0
18963,"""@BrokenPiecesmsc: @ItsNotAdam faggot read my tweets after dat k"" it wasn't even funny lol",1,0
17997,Just touch down in Jamaica tryna smoke two acres . Send a nigguh to his makerr,1,2
15681,@NorahODonnell dishing Texas trash talking pts with racist @jdickerson maybe if GBush had apologize for all his sins he wouldn't be hiding,1,2
5337,@KenSuttling @amhistorymuseum @Yankees He now resides on the Mantle piece.,2,1
3015,God my tweets are so ghetto,1,2
9254,"RT @FirearmsDaily: Statistics don't lie, if you like gun control you're a queer guy. #FD",1,0
7803,"some guy said I was wearing leggings and laughed and called me a fag. they're JEGGINGS, asshole.",1,2
387,"RT ""@_ThatGAPeach: &amp; alla my niggas hot boys , so don't bring no ice in this bitch &#128130;&#8221;",0,1
7198,Beautiful Fairy Elegant Dress http://t.co/ouxWbYTUt6,2,1
1035,&#8220;@TrapFuhrer: When her nudes trash you gotta draw clothes back on her and send em back http://t.co/jX7Mc32BkV&#8221;&#128128;&#128128;&#128128;&#128128;&#128128;,1,2
16560,somebody take these Oreos away from me before I eat the whole pack,2,1
11474,This is really for @BrianStann RT @JimDaves: @WesDurham Exploding giant yellow ducks. You&#8217;ll appreciate this: http://t.co/SpOhTpl8uV,2,0
5960,@niggieesmalls I got ugly niggah problems. Lol but you got pretty niggah problems. Too bad they the same problem. &#128514;,1,0
705,@RAEPaelMunturo @WorldStarFunny aye sae en feeld kawkin dyke,1,2
15308,@selina_dabbagh the song? About pollo hermanos and Heisenberg?,2,1
3595,@YessMe_SHAY I want my poms back lmfao,2,1
17541,"@InfidelAlie touch&#233; muzzie fuckers, hope it was set to go full of bacon and pork rinds",1,0
2826,RT @__CocaineCowboy: Freaky ass ready ass hoes,1,2
513,@shawnpitts77 all I wear is vineyard vines and American flag chubbies. I'm the OPPOSITE of a wigga.,1,0
18089,Part chink.,1,2
11467,RT @richiesuavee: &#8220;@ViriDoesItt: Kevin Hart make funny faces.. His curriculum kinda trash..&#8221; Curriculum? &#128514;&#128514;&#128514; http://t.co/zJJyRGcZ9Y,2,0
16599,Fat fucking funky nasty ass hoes,0,1
3886,Kobe is fat &amp; Im white &#9996;RT @jwill252: Some people just retarded lol RT @TheTrackMamba: Y'all really think Kobe Fat tho??? Give me a break!!,1,2
3248,"RT ""@TIMAtheRACER: Wow do we have another faggot? &#8220;@ShinobiCelsius: TIMAtheRACER wow do we have another Cam hater? lol&#8221;""&gt;&gt; dat dude is nice",0,1
19744,#NowPlaying : Great White - Once Bitten Twice Shy on #1069TheArrow - http://t.co/R5wuXA9jB6,2,0
12104,"Bro everybody is a ho then, fuck it, your favorite Color is mango red you are a ho, you charge your phone all the way to 100% = Ho, smh",0,1
10220,@_Dukefan @KentuckyFanPage thats why we had 8 regular season losses...... #you #are #retarded,1,0
13035,"@JfromHuntington @thatUPSdude &lt;
I hates to interject but cans I have yo digits? I likes wiggers dat wanna be fucked by coloreds",1,0
14805,"wearing pajamas tonight 4 da gook 
UDigg 

Grey day",2,1
12858,Lighting my pretty ass up w them yellow stars lls,1,2
11103,"Only word I can understand on #BlackJesus is ""nigger""... Heavily disappointed in this show. AaronMacgruder stuff blows, IMO.",0,2
18413,"""@gurl_Im_Angie: @ItsKiaraaaa @WestYourMajesty I'm not even shy stfu"" kikis mom: Hi angelique 
Angelique: Smiles *Dips cracker in soup*",1,0
2602,@Teets6 shit trash,1,2
17486,"I'm not big on the ""Uncle Tom"" slur anyway, but can we at least reserve it for those who earn it, not just those who dare to not vote Dem?",2,1
12699,"@ItsMander 
AIDS ain't all dat bad. You can become da hoe and do da crack and ain't gonna make no difference anyhow",1,2
3120,"RT @KarinaCasallas: LMFAO OH NAH SHE KEEP IT THREE HUNNA""@catoxx3: @DJZeeti twitpic a selfie if u a ho http://t.co/j4RuNFZrtX""",2,1
12160,Lol RT @JayFucknHarris: Youuuuu got niggas but I don't got bitches,0,1
4751,"RT @nikkilenn: Big dreams, cause that small goal shit is for the birds.",1,2
1704,I already know you trash if being tatted is on the list of things you want in a nigga..,0,1
9760,@JPerez003 teabaggers are anti American. Hows it feel to hate your country?,1,0
11735,"about to drunkenly get a free 3D printed bracelet that says ""fake ho""",1,2
2534,Quan and Dino RT them faggot ass niggas!? Aight man,1,0
8452,@Swaggyb20 Johans a free agent harveys hurt you retard. and its valverde* #ignorance,1,2
977,Disgusting &#8220;@ToneDaGawd: GTFOHHHHH RT &#8220;@hiitaylorblake: Mom just bought me a pet nigger &#128525; http://t.co/xEJ8Yv16MN&#8221;&#8221;,1,0
651,@Get__Em__Craig I was sleep hoe where you at,1,0
11765,@SteveWorks4You ...you are a lazy redneck. Get back to work governing. Stay off twitter with your lying bullshit....#stockmantheliar,1,2
16138,I say we all do a big fat line of meth after the finale...come on you pussies :P #GoodbyeBreakingBad,1,2
11293,@vanessa32m honestly the performers on there red carpet were trash hahahaahahahaha,2,0
5927,Driving the fucktardmobile - tranny slips and all. &#128530; http://t.co/8e3kXEgMjo,1,0
2647,WATCH-Military Monday Jihadi Bitches Slaying: BADASS - A-10 Silences Taliban During Intense Night Time Firefight http://t.co/osAgQo567K,1,0
17551,RT @billmanoussakis: Sinclair hoes don't care how fat they are. They all still wear yoga pants and belly shirts....,1,2
15922,Roman Catholics in the US are trash. They give Catholics in Europe a bad name.,0,2
3073,Since you hoes wanna be childish &#128514;&#128514;&#128514; http://t.co/P6v3xPXnrZ,1,2
8956,@dustincmc @KevinKillsThngs ghetto=black,2,0
16056,"@yawlknow @HoskinsTy96 ""all of these rednecks and none of them can keep the fire lit"" &#128514;&#128514;",0,1
7802,@mr_republicann chik fil a. hipotle is trash and taco bell will give you the runs,2,0
8732,Experience Charlie. Married woman who loves hot phone sex with strangers. Can you get me off? - 27 http://t.co/bpDqqPoGAe,1,2
7513,@TylerDunn22 all strippers and sexy hoes follow my mans!!,1,2
1397,Lakers are trash right now.,0,2
7908,Facebook is for fags,1,0
