,Unnamed: 0,tweet,Susana,Pratyusha,Derek,Andy
58,14656,RT @Chayeezy: When a bitch got you fucked up but you devoted your life to the Lord so you gotta stand there like you aint mad http://t.co/7&#8230;,0,0,1,0
59,18795,RT @corey_emanuel: &#128557;&#128557;&#128557;&#128557; RT @ivyleague1908: SHAT!!!!!! RT @DirtRoadDon: When Deltas smell they own pussy http://t.co/3LojKQM8ZG,1,1,1,1
60,17098,RT @RickRaze: Why would I be in a relationship theses hoes go still do them &#128514;&#128175;,1,0,1,1
61,8608,"Damn ""@JonnieSantana: It's kinda trash man RT ""@80sbaby4life: How many of you actually have had a threesome. Honestly""""",1,0,0,0
62,2579,@Benny_Balboa not to yall thou! Yalll fucking glad bag trash,1,2,0,1
63,6415,@kieffer_jason @someone yea it's very true bitch,0,0,1,0
64,23804,"everybody fuckin everybody bitch everybody wit the shits, thats lifee",0,0,0,0
65,2662,@BradMich4Real thats shit gon be the death of these hoes...ion like it...,1,1,1,1
66,19721,"RT @murrman5: ""Hun, I'm quitting my job and going to learn to become a psychic. Now I know what you're thinking, well not yet. I'm going to&#8230;",0,0,2,0
67,22181,Thursdays really been trash this season @nfl,0,0,2,0
68,19509,RT @letsargueboxing: @staycoolwheels screaming like a little bitch lmaooo,0,0,1,0
69,2388,@Alan_Casillas haha shit niggah i wish,0,0,1,0
70,13195,Nah we still up. RT @Tweets_NOchill: All the flat booty bitches asleep yet or Nah?,1,1,1,0
71,9406,Get these hoe ass fuckboys off the stage. #VMAs,1,1,0,1
72,6285,@josephljenkins Have heard some hillbilly grumblings that bugs worse in recent years because of MIC shutdown.,0,0,0,0
73,17104,RT @RihannaHasAids: aight game over. dykes had to ruin it http://t.co/o0CAn6gb1p,2,2,0,1
74,7001,@seansteiger31 yea cause I showed ya bitch ass,1,1,1,0
75,20668,Seeing elder queer couples marry really is emotional. They get to live their final years with equality and with dignity.,0,0,2,0
76,18153,"RT @Yankees: Gardy goes yardy again! He leads off the game with a HR for the second straight night, and it's 1-0 #Yankees!",0,0,2,0
77,12184,"KaasPiet,bloemPiet.?lol men weet van gekkigheid niet meer hoe ze simpele oplossing tegen racisme moet maken.Zolang maar blanke beslissing is",0,0,2,0
78,16183,RT @LettyBro_: Yall hoes super weakkkkkkkk,1,1,1,0
79,24752,you ain't a real nigga without goal a to chase and a yellow bone bitch w/ some toes to paint,1,1,1,1
80,18081,"RT @WolfpackAlan: Oreos: First you twist it, then you- aw crap, it broke.",0,0,2,0
81,23357,You know what fuck that bitch and you didnt react? girl it's me and you,1,0,0,0
82,13430,"Not ""us bitches"" &#128514;&#128514;&#128514;&#128514;&#128514;",0,0,1,0
83,21649,Them hoes look so clean on foot.,1,0,0,0
84,14091,RT @ATL_PRiNCeSS: A real bitch know she gotta pluck dat nipple hair,1,0,0,0
85,16651,"RT @NikoWavy: A lot of bitches like to gamble, but not with money. They put their emotions, feelings and heart on the line.",0,0,1,0
86,23950,"http://t.co/4YyVxESnUR

The far left looks the best if you ask me, bitches try too hard. Just be yourself, especially if you're thick",1,0,2,0
87,3470,@IamShady_ that's not even a real word! Must have hit a blunt and started making up shit with your nigger ass lol,1,1,1,1
88,18049,"RT @WhatTheFFacts: Actor Charlie Sheen once bought 2,600 seats at an Angels baseball game in hopes of catching a home run ball.",0,0,2,0
89,15769,RT @JayOnDatAss: All these girls saying nobody can put em up with em. Dont no nigga want a bitch as a girlfriend fix that shit,1,1,0,1
90,13738,"Out of day care, I'm taking a kitty nap on you hosers.",0,0,0,0
91,24265,niggas ain't playin a gram of defense man George need to tell these bitch ass niggas man up,1,1,0,1
92,5333,@_MckenzieNoel miss you bitch,0,0,2,0
93,7048,@slayerific13 @daisymcgarr Like I said.. I might have to check but I'm just not sure bird shot counts as getting shot.,0,0,2,0
94,4388,@ParhamBryce @lllexiss @lukejohnson06 @laurenbeckkkk1 alright then we'll in calling you a pussy also,1,1,1,1
95,19306,RT @jaaayLENo: Dese hoes aint loyal @ Wal-Mart #TeamIgnant #hoodcomedy #flytv #LOLATL &#128514;&#128514;&#128514;&#128514; bruh https://t.co/3nKvBpR9qr,1,0,2,0
96,22611,What mad cunt created masturbating? That dude needs a high 5...,1,1,0,1
97,21818,These hoes worried bout the wrong things in life,1,1,1,1
98,9033,FF has been consistently one of Marvel's worst properties. Ultimate FF was good; but the entire Ultimate universe is now in the trash.,0,0,0,0
99,19733,RT @nateturnboy: You left prom camping first day cause you're a bitch boy.,1,1,0,1
